STRING ID	DESCRIPTION	ENGLISH	FRENCH / FRANÇAIS	SPANISH / ESPAÑOL	GERMAN / DEUTSCH	ITALIAN / ITALIANO	PORTUGUESE / PORTUGUÊS (BR)	PORTUGUESE / PORTUGUÊS (PT)	RUSSIAN / РУССКИЙ	GREEK / ΕΛΛΗΝΙΚΑ	TURKISH / TÜRKÇE	DANISH / DANSK	NORWEGIAN (NB) / NORSK BOKMÅL	SWEDISH / SVENSKA	DUTCH / NEDERLANDS	POLISH / POLSKI	FINNISH / SUOMI	JAPANESE / 日本語	SIMPLIFIED CHINESE / 简体中文	TRADITIONAL CHINESE / 繁体中文	KOREAN / 한국어	CZECH / ČEŠTINA	HUNGARIAN / MAGYAR	ROMANIAN / ROMÂNĂ	THAI / ภาษาไทย	BULGARIAN / БЪЛГАРСКИ	עברית / HEBREW	 العربية / ARABIC	BOSNIAN
LANGUAGE_CODE	IETF language tag(s) without dash	enUS enGB	frFR	esES esAR esMX	deDE deCH deAT	itIT itCH	ptBR	ptPT	ruRU	elGR	trTR	daDK	noNB	svSE	nlNL	plPL	fiFI	jaJP	zhCN zhSG	zhTW zhHK zhMO	koKR	csCZ	huHU	roRO	thTH	bgBG	heIL	ar001	bsBS
LANGUAGE_EN	[LanguageName] in english	English	French	Spanish	German	Italian 	Portuguese (Brazil)	Portuguese	Russian	Greek	Turkish	Danish	Norwegian	Swedish	Dutch	Polish	Finnish	Japanese	Simplified Chinese	Traditional Chinese	Korean	Czech	Hungarian	Romanian	Thai	Bulgarian	Hebrew	Arabic	Bosnian
LANGUAGE_DIRECTION	ltr or rtl (text direction used by game code)	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	rtl	rtl	ltr
																													
Polyglot	100																												
CHOICE_ADD	In-Game VO	Add	Ajouter	Añadir	Hinzufügen	Inserisci	Adicionar		Добавить							Dodaj		追加	加		더하다	Kapitola	Fejezet	Capitol	บทที่	Глава	פרק	فصل	Poglavlje
CHOICE_CONTINUE	In-Game VO	Continue	Continuer	Seguir	Fortsetzen	Continua	Continuar		Продолжить							Kontyntynuj		継続する	继续		계속하다	Stránka	Oldal	Pagină	หน้า	Страница	עמוד	صفحة	Stranica
CHOICE_DISTRACTED	In-Game VO	Distracted	Distraits	Distraído	Abgelenkt	Distratto	Distraído		отвлеченный							Roztargniony		気が散る	分心		산만	Grafika	Grafika	Grafică	กราฟฟิค	Графика	גרפיקה	الرسوميات	Grafika
CHOICE_HOLD	In-Game VO	Hold	Tenir	Sostener	Halt	Tenere	Aguarde		Держать							Utrzymać		ホールド	保持		보류	Jazyk	Nyelv	Limbă	ภาษา	Език	שפה	اللغة	Jezik
CHOICE_MOVE	In-Game VO	Move	Bouge toi	Moverse	Bewegung	Mossa	Mover		Шаг							Ruszaj się		動く	移动		움직임	Hlavní menu	Főmenü	Meniu Principal	เมนูหลัก	Главно меню	מסך ראשי	القائمة الرئيسية	Glavni Meni
CHOICE_NO	In-Game VO	No	Non	No	Nein	No	Não		нет							Nie		番号	没有		아니	Hudba	Zene	Muzică	เพลง	Музика	מוזיקה	الموسيقى	Muzika
CHOICE_PAY-ATTENTION	In-Game VO	Pay Attention	Faites attention	Presta atención	Passt auf	Fai attenzione	Preste atenção		Обращать внимание							Zwróć uwagę		注意を払う	请注意		주의								
CHOICE_PLAY	In-Game VO	Play	Redémarrer	Reiniciar	Neu starten	Ricomincia	Reiniciar		Запустить снова							Uruchom ponownie		再起動	重新开始		재시작								
CHOICE_RESTART	In-Game VO	Restart	Redémarrer	Reiniciar	Neu starten	Ricomincia	Reiniciar		Запустить снова							Uruchom ponownie		再起動	重新开始		재시작	Ukončit hru	Bezárás	Închidere	ออก	Изход	הפסק	خروج	Izaći
CHOICE_SUBTRACT	In-Game VO	Subtract	Soustraire	Sustraer	Subtrahieren	Sottrarre	Subtrair		Вычесть							Odejmować		減算	减去		덜다	Hlasy	Párbeszédek	Voce	เสียงพูด	Говор	קולות	صوت الحوار	Glasovi
CHOICE_TIMEOUT	In-Game VO	Timeout	Temps libre	Se acabó el tiempo	Auszeit	Tempo scaduto	Tempo esgotado		Тайм-аут							Koniec czasu		タイムアウト	超时		타임 아웃								
CHOICE_USE-JOURNAL	In-Game VO	Use Journal	Utiliser le journal	Usar diario	Journal verwenden	Usa diario	Usar diário		Используйте журнал							Użyj Journal		ジャーナルを使用	使用日记		저널 사용	Čeština	Magyar	Română	ภาษาไทย	Български	עברית	العربية	Bosanski
