STRING ID	DESCRIPTION	ENGLISH	FRENCH / FRANÇAIS	SPANISH / ESPAÑOL	GERMAN / DEUTSCH	ITALIAN / ITALIANO	PORTUGUESE / PORTUGUÊS (BR)	PORTUGUESE / PORTUGUÊS (PT)	RUSSIAN / РУССКИЙ	GREEK / ΕΛΛΗΝΙΚΑ	TURKISH / TÜRKÇE	DANISH / DANSK	NORWEGIAN (NB) / NORSK BOKMÅL	SWEDISH / SVENSKA	DUTCH / NEDERLANDS	POLISH / POLSKI	FINNISH / SUOMI	JAPANESE / 日本語	SIMPLIFIED CHINESE / 简体中文	TRADITIONAL CHINESE / 繁体中文	KOREAN / 한국어	CZECH / ČEŠTINA	HUNGARIAN / MAGYAR	ROMANIAN / ROMÂNĂ	THAI / ภาษาไทย	BULGARIAN / БЪЛГАРСКИ	עברית / HEBREW	 العربية / ARABIC	BOSNIAN
LANGUAGE_CODE	IETF language tag(s) without dash	enUS enGB	frFR	esES esAR esMX	deDE deCH deAT	itIT itCH	ptBR	ptPT	ruRU	elGR	trTR	daDK	noNB	svSE	nlNL	plPL	fiFI	jaJP	zhCN zhSG	zhTW zhHK zhMO	koKR	csCZ	huHU	roRO	thTH	bgBG	heIL	ar001	bsBS
LANGUAGE_EN	[LanguageName] in english	English	French	Spanish	German	Italian 	Portuguese (Brazil)	Portuguese	Russian	Greek	Turkish	Danish	Norwegian	Swedish	Dutch	Polish	Finnish	Japanese	Simplified Chinese	Traditional Chinese	Korean	Czech	Hungarian	Romanian	Thai	Bulgarian	Hebrew	Arabic	Bosnian
LANGUAGE_DIRECTION	ltr or rtl (text direction used by game code)	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	rtl	rtl	ltr
																													
Polyglot	100																												
scenario_test.01	In-Game VO	Hello.	Bonjour.	Hola.	Hallo.	Ciao.	Olá.		Здравствуйте.							Dzień dobry.		こんにちは。	你好。		여보세요.								
scenario_test.02	In-Game VO	This demo shows off how Ink and Unity	Cette démo montre comment Ink et Unity	Esta demostración muestra cómo Ink y Unity	Diese Demo zeigt, wie Tinte und Einheit	Questa demo mostra come Ink e Unity	Esta demonstração mostra como Ink e Unity		Эта демонстрация демонстрирует, как Ink и Unity							To demo pokazuje, jak Ink and Unity		このデモは、インクとユニティがどのように機能するかを示しています	该演示展示了Ink和Unity		이 데모는 Ink와 Unity가								
scenario_test.03	In-Game VO	can be integrated to quickly load environments	peut être intégré pour charger rapidement les environnements	se puede integrar para cargar rápidamente entornos	kann integriert werden, um Umgebungen schnell zu laden	può essere integrato per caricare rapidamente gli ambienti	pode ser integrado para carregar ambientes rapidamente		может быть интегрирован для быстрой загрузки сред							można zintegrować, aby szybko ładować środowiska		統合して環境をすばやくロードできます	可以集成以快速加载环境		환경을 빠르게로드하기 위해 통합 가능								
scenario_test.04	In-Game VO	with lip synched characters and branching narrative	avec des personnages synchronisés sur les lèvres et un récit ramifié	con personajes de labios sincronizados y narrativa ramificada	mit lippensynchronen Zeichen und verzweigter Erzählung	con personaggi in sincronia labiale e narrativa ramificata	com personagens sincronizados labial e narrativa ramificada		с синхронизированными по губам персонажами и разветвленным повествованием							z postaciami zsynchronizowanymi z ustami i rozgałęzioną narracją		リップシンクのキャラクターと分岐した物語	带有嘴唇同步字符和分支叙述		립싱크 캐릭터와 분기 내러티브								
scenario_test.05	In-Game VO	based on player actions.	basé sur les actions des joueurs.	basado en las acciones del jugador.	basierend auf Spieleraktionen.	basato sulle azioni del giocatore.	com base nas ações do jogador.		на основе действий игрока.							na podstawie działań gracza.		プレイヤーのアクションに基づいています。	根据玩家的动作。		플레이어 행동을 기반으로합니다.								
scenario_test.06	In-Game VO	What do you think?	Qu'est-ce que tu penses?	¿Qué piensas?	Was denken Sie?	Cosa pensi?	O que você acha?		Что вы думаете?							Co myślisz?		どう思いますか？	你怎么看？		어떻게 생각해?								
scenario_test.07	In-Game VO	Pretty neat, huh?	Assez chouette, hein?	Bastante ordenado, ¿eh?	Ziemlich ordentlich, oder?	Abbastanza pulito, eh?	Muito legal, hein?		Довольно аккуратно, да?							Całkiem schludnie, co?		かなりきちんとしていますね	很整洁吧？		꽤 깔끔 하죠?								
scenario_test.08	In-Game VO	Not bad, huh?	Pas mal, hein?	Nada mal, ¿eh?	Nicht schlecht, oder?	Non male, eh?	Nada mal, hein?		Неплохо, а?							Nieźle, co?		悪くないですよね？	还不错吧？		나쁘지 않죠?								
